"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
5.39180961009312,-0.0385724198714634,NA,0.0345536720986815,-0.00808869962930639,"+",NA,NA,NA,"+",NA,NA,NA,7,-178.727803297335,371.760783706388,3.6757866501855,0.00447307092605407
1.74448193975103,-0.033921228539663,-0.130543523444842,0.0487027713336083,-0.00920154193934538,NA,1.47764386104868,NA,NA,"+",NA,NA,NA,7,-178.73886861489,371.782914341496,3.69791728529407,0.00442384781274827
1.68209941167843,-0.0338155210525538,NA,0.0490497085205684,-0.00921017223232544,NA,1.463546771048,NA,9.45537791889616e-06,"+",NA,NA,NA,7,-178.748553023764,371.802283159245,3.71728610304268,0.00438121224509086
15.3074959457037,-0.0973535831697355,1.04178871937609,0.0801562894392376,NA,NA,-42.623635542224,NA,0.000222861348354692,"+",NA,0.166574317131808,NA,8,-177.704791181734,371.803024986419,3.71802793021658,0.00437958749528137
40.0459552596806,-0.0508955671548751,NA,0.0449197848889309,-0.00803828374783614,"+",NA,NA,-0.0106874061142974,NA,NA,NA,NA,7,-178.776576322021,371.85832975576,3.77333269955756,0.0042601405646057
26.7531844154832,-0.0480763214118316,NA,NA,-0.00872492841813308,"+",NA,NA,-0.00512466184116523,"+",NA,NA,NA,7,-178.781585788786,371.868348689289,3.78335163308702,0.00423885289648458
34.6094255592345,-0.0466742397127677,1.02860623658743,NA,-0.0121615739855301,"+",2.92354469307242,NA,-0.00827101341167188,"+",NA,NA,NA,9,-176.688888848937,371.870928382806,3.7859313266037,0.00423338895040108
14.5600100364101,-0.0644051183754296,NA,NA,0.00807779743068617,NA,-15.2322064456775,NA,NA,"+",-6.57691257332855e-05,0.06294685227586,NA,7,-178.806233238251,371.917643588218,3.83264653201633,0.00413565301527213
15.1929635641917,-0.0660930030511325,NA,NA,-0.00670110545774809,NA,-16.3227243419295,0.175052988836332,NA,"+",NA,0.0661243604449441,NA,7,-178.814457263712,371.934091639141,3.84909458293885,0.00410178077357573
14.1733444803975,-0.0630296351059498,-0.164877520433608,NA,-0.00681673366135851,NA,-14.3504365881401,NA,NA,"+",NA,0.0596124222059505,NA,7,-178.815609789123,371.936396689963,3.85139963376122,0.00409705609018489
26.0617057274008,-0.106636858343087,1.39187474118778,NA,NA,"+",-45.1843354962953,NA,NA,"+",NA,0.179311356218235,NA,8,-177.780266619836,371.953975862623,3.86897880642061,0.00406120246209011
10.2593622312977,-0.0453477992050657,NA,NA,-0.00971660619528944,NA,NA,3.42618254998833,NA,"+",NA,NA,-0.0132528205278324,6,-179.872174654677,371.97261017892,3.88761312271777,0.00402353932563603
9.22729002360053,-0.0412097443940482,-0.100491741141328,NA,-0.00881476003098667,NA,NA,0.181805253839215,NA,"+",NA,NA,NA,6,-179.923043345241,372.074347560047,3.98935050384489,0.00382398569364127
12.3384244229183,-0.0784572232557718,NA,0.0577542167332384,0.0391401036709117,"+",-26.0865809868319,NA,NA,"+",-0.000202367284773049,0.109709635081126,NA,10,-175.738679423687,372.081754451769,3.99675739556727,0.00380984996126724
9.19452347436482,-0.0411428212590809,NA,NA,-0.00884205024662171,NA,NA,0.178455300352994,1.07851090454658e-05,"+",NA,NA,NA,6,-179.927301819711,372.082864508987,3.99786745278527,0.0038077359722592
9.22518140004195,-0.0411392936848112,NA,NA,-0.00515282979770483,NA,NA,0.20780349803733,NA,"+",-1.66194236842333e-05,NA,NA,6,-179.928166311676,372.084593492917,3.99959643671536,0.00380444563754504
39.6253034312761,-0.0834331440687194,1.52813788404751,NA,-0.00841814683027873,"+",-21.5573384963165,NA,-0.00667437929057144,"+",NA,0.0933382865707687,NA,10,-175.75839556312,372.121186730635,4.03618967443344,0.00373547007970454
9.15033351211395,-0.0412460569118654,-0.0904349292159359,NA,-0.0084443635396746,NA,NA,NA,1.96662910029599e-05,"+",NA,NA,NA,6,-179.961185286273,372.15063144211,4.0656343859082,0.00368087800834781
9.12903529168237,-0.0412076327387542,NA,NA,-0.00734352655355153,NA,NA,NA,2.87898355001326e-05,"+",-5.06774512548608e-06,NA,NA,6,-179.964800858149,372.157862585863,4.07286552966093,0.00366759355925235
59.877859197451,-0.0726619194397495,NA,NA,-0.00916187952475811,"+",-8.27550252506349,NA,-0.0142664628936318,NA,NA,0.0402606536829449,NA,8,-177.884323631438,372.162089885827,4.07709282962492,0.0036598497369398
9.19365702720122,-0.0412775395397664,-0.180716816964805,NA,-0.00506453357289248,NA,NA,NA,NA,"+",-1.4758453404013e-05,NA,NA,6,-179.966923835567,372.162108540699,4.07711148449664,0.00365981560008532
21.9517966983403,-0.0921435781852501,NA,NA,NA,NA,-35.6532673673495,NA,0.000121754864947833,"+",NA,0.138320506004146,NA,6,-179.96948699712,372.167234863804,4.08223780760238,0.00365044691330665
